"condition","Iteration","InSampleError","Error","Model"
0,81,0.341483608446964,0.324240101994489,"Homothetic Exponential"
0,82,0.327630746862895,0.335178998616954,"Homothetic Exponential"
0,83,0.335082266245688,0.325793786238346,"Homothetic Exponential"
0,84,0.338245037502227,0.327585927614544,"Homothetic Exponential"
0,85,0.33546541672065,0.322706563082023,"Homothetic Exponential"
0,86,0.338383636121753,0.329688175818383,"Homothetic Exponential"
0,87,0.332670299858658,0.324832328240763,"Homothetic Exponential"
0,88,0.327642770346966,0.330628829618978,"Homothetic Exponential"
0,89,0.330042313375648,0.337409990932662,"Homothetic Exponential"
0,90,0.326093915599915,0.330522127415102,"Homothetic Exponential"
0,91,0.324959719175225,0.333170700174898,"Homothetic Exponential"
0,92,0.325648815246996,0.3324406957863,"Homothetic Exponential"
0,93,0.327190244699462,0.321977336033044,"Homothetic Exponential"
0,94,0.3364577445994,0.324284663728809,"Homothetic Exponential"
0,95,0.336851601874793,0.323680288109578,"Homothetic Exponential"
0,96,0.341690083095241,0.323781525157911,"Homothetic Exponential"
0,97,0.318362473793562,0.335472406884137,"Homothetic Exponential"
0,98,0.344267423639722,0.315186031488861,"Homothetic Exponential"
0,99,0.343004210120243,0.315146873015053,"Homothetic Exponential"
0,100,0.348322951607407,0.31490658861309,"Homothetic Exponential"
0,1,0.324157521910986,0.308059010135607,"Hyperbolic"
0,2,0.305440377657636,0.32695968441827,"Hyperbolic"
0,3,0.318356804699194,0.313672034131782,"Hyperbolic"
0,4,0.318183979732773,0.32467543537825,"Hyperbolic"
0,5,0.318795262931996,0.318529030961499,"Hyperbolic"
0,6,0.334121825991011,0.300171785061931,"Hyperbolic"
0,7,0.314061398409542,0.315909195967616,"Hyperbolic"
0,8,0.284433429978361,0.349674087713831,"Hyperbolic"
0,9,0.300134002676812,0.335109062654298,"Hyperbolic"
0,10,0.319881422017628,0.3072228136414,"Hyperbolic"
0,11,0.320241586073302,0.317924160529158,"Hyperbolic"
0,12,0.305492603400167,0.33460821813191,"Hyperbolic"
0,13,0.315805258090048,0.324494421075882,"Hyperbolic"
0,14,0.315806644387043,0.319393082732683,"Hyperbolic"
0,15,0.315781290945861,0.319145375149104,"Hyperbolic"
0,16,0.317011371456017,0.323481698592627,"Hyperbolic"
0,17,0.310999918156338,0.319470908899906,"Hyperbolic"
0,18,0.305452077878727,0.329169300882018,"Hyperbolic"
0,19,0.329351180702653,0.303683560549936,"Hyperbolic"
0,20,0.311041244424801,0.327384135788281,"Hyperbolic"
0,21,0.295855285198836,0.344001895296231,"Hyperbolic"
